Freq.,V(n001)
3.05251841792116e-003,9.99999999632145e-001,-1.91795388663220e-005
3.07375036257606e-003,9.99999999627010e-001,-1.93129431088723e-005
3.09512998708482e-003,9.99999999621803e-001,-1.94472752513074e-005
3.11665831864204e-003,9.99999999616524e-001,-1.95825417476812e-005
3.13833639158704e-003,9.99999999611171e-001,-1.97187490969395e-005
3.16016524745355e-003,9.99999999605743e-001,-1.98559038432314e-005
3.18214593501972e-003,9.99999999600239e-001,-1.99940125762243e-005
3.20427951035853e-003,9.99999999594659e-001,-2.01330819314205e-005
3.22656703688855e-003,9.99999999589001e-001,-2.02731185904758e-005
3.24900958542498e-003,9.99999999583263e-001,-2.04141292815206e-005
3.27160823423117e-003,9.99999999577446e-001,-2.05561207794829e-005
3.29436406907034e-003,9.99999999571547e-001,-2.06990999064145e-005
3.31727818325781e-003,9.99999999565566e-001,-2.08430735318179e-005
3.34035167771352e-003,9.99999999559502e-001,-2.09880485729771e-005
3.36358566101490e-003,9.99999999553353e-001,-2.11340319952893e-005
3.38698124945015e-003,9.99999999547118e-001,-2.12810308126002e-005
3.41053956707187e-003,9.99999999540796e-001,-2.14290520875403e-005
3.43426174575106e-003,9.99999999534385e-001,-2.15781029318649e-005
3.45814892523151e-003,9.99999999527886e-001,-2.17281905067953e-005
3.48220225318454e-003,9.99999999521295e-001,-2.18793220233630e-005
3.50642288526419e-003,9.99999999514613e-001,-2.20315047427564e-005
3.53081198516267e-003,9.99999999507837e-001,-2.21847459766692e-005
3.55537072466633e-003,9.99999999500967e-001,-2.23390530876520e-005
3.58010028371194e-003,9.99999999494001e-001,-2.24944334894662e-005
3.60500185044337e-003,9.99999999486937e-001,-2.26508946474397e-005
3.63007662126869e-003,9.99999999479775e-001,-2.28084440788260e-005
3.65532580091765e-003,9.99999999472513e-001,-2.29670893531654e-005
3.68075060249955e-003,9.99999999465149e-001,-2.31268380926482e-005
3.70635224756154e-003,9.99999999457683e-001,-2.32876979724814e-005
3.73213196614728e-003,9.99999999450113e-001,-2.34496767212572e-005
3.75809099685610e-003,9.99999999442436e-001,-2.36127821213245e-005
3.78423058690244e-003,9.99999999434653e-001,-2.37770220091627e-005
3.81055199217581e-003,9.99999999426761e-001,-2.39424042757582e-005
3.83705647730111e-003,9.99999999418759e-001,-2.41089368669835e-005
3.86374531569944e-003,9.99999999410645e-001,-2.42766277839791e-005
3.89061978964920e-003,9.99999999402418e-001,-2.44454850835378e-005
3.91768119034777e-003,9.99999999394076e-001,-2.46155168784918e-005
3.94493081797350e-003,9.99999999385618e-001,-2.47867313381025e-005
3.97236998174820e-003,9.99999999377042e-001,-2.49591366884531e-005
4.00000000000006e-003,9.99999999368345e-001,-2.51327412128435e-005
4.02782220022694e-003,9.99999999359528e-001,-2.53075532521889e-005
4.05583791916018e-003,9.99999999350587e-001,-2.54835812054197e-005
4.08404850282884e-003,9.99999999341522e-001,-2.56608335298858e-005
4.11245530662433e-003,9.99999999332330e-001,-2.58393187417626e-005
4.14105969536558e-003,9.99999999323009e-001,-2.60190454164599e-005
4.16986304336455e-003,9.99999999313559e-001,-2.62000221890345e-005
4.19886673449234e-003,9.99999999303976e-001,-2.63822577546047e-005
4.22807216224559e-003,9.99999999294260e-001,-2.65657608687680e-005
4.25748072981351e-003,9.99999999284409e-001,-2.67505403480220e-005
4.28709385014524e-003,9.99999999274419e-001,-2.69366050701879e-005
4.31691294601778e-003,9.99999999264291e-001,-2.71239639748369e-005
4.34693945010430e-003,9.99999999254021e-001,-2.73126260637200e-005
4.37717480504303e-003,9.99999999243607e-001,-2.75026004012003e-005
4.40762046350651e-003,9.99999999233048e-001,-2.76938961146883e-005
4.43827788827145e-003,9.99999999222342e-001,-2.78865223950811e-005
4.46914855228895e-003,9.99999999211486e-001,-2.80804884972030e-005
4.50023393875531e-003,9.99999999200479e-001,-2.82758037402512e-005
4.53153554118327e-003,9.99999999189318e-001,-2.84724775082427e-005
4.56305486347377e-003,9.99999999178001e-001,-2.86705192504656e-005
4.59479341998822e-003,9.99999999166527e-001,-2.88699384819331e-005
4.62675273562123e-003,9.99999999154892e-001,-2.90707447838403e-005
4.65893434587390e-003,9.99999999143095e-001,-2.92729478040251e-005
4.69133979692759e-003,9.99999999131133e-001,-2.94765572574311e-005
4.72397064571820e-003,9.99999999119004e-001,-2.96815829265749e-005
4.75682846001096e-003,9.99999999106705e-001,-2.98880346620158e-005
4.78991481847580e-003,9.99999999094235e-001,-3.00959223828291e-005
4.82323131076312e-003,9.99999999081591e-001,-3.03052560770828e-005
4.85677953758027e-003,9.99999999068771e-001,-3.05160458023174e-005
4.89056111076836e-003,9.99999999055772e-001,-3.07283016860291e-005
