Freq.	V(out5)
3.58010028371194e+003	-1.88953949192359e+001,2.93818499372662e-001
3.60500185044337e+003	-1.88953309778532e+001,2.95860901547778e-001
3.63007662126870e+003	-1.88952661446572e+001,2.97917483146059e-001
3.65532580091766e+003	-1.88952004072204e+001,2.99988342234523e-001
3.68075060249955e+003	-1.88951337529424e+001,3.02073577551108e-001
3.70635224756154e+003	-1.88950661690476e+001,3.04173288507940e-001
3.73213196614728e+003	-1.88949976425827e+001,3.06287575196826e-001
3.75809099685610e+003	-1.88949281604143e+001,3.08416538393215e-001
3.78423058690244e+003	-1.88948577092262e+001,3.10560279560709e-001
3.81055199217581e+003	-1.88947862755172e+001,3.12718900855630e-001
3.83705647730112e+003	-1.88947138455982e+001,3.14892505131620e-001
3.86374531569944e+003	-1.88946404055898e+001,3.17081195944210e-001
3.89061978964920e+003	-1.88945659414196e+001,3.19285077555557e-001
3.91768119034777e+003	-1.88944904388196e+001,3.21504254938580e-001
3.94493081797350e+003	-1.88944138833233e+001,3.23738833782150e-001
3.97236998174820e+003	-1.88943362602633e+001,3.25988920495410e-001
4.00000000000006e+003	-1.88942575547681e+001,3.28254622212562e-001
4.02782220022694e+003	-1.88941777517596e+001,3.30536046798133e-001
4.05583791916018e+003	-1.88940968359500e+001,3.32833302850638e-001
4.08404850282884e+003	-1.88940147918391e+001,3.35146499708200e-001
4.11245530662433e+003	-1.88939316037114e+001,3.37475747453284e-001
4.14105969536558e+003	-1.88938472556327e+001,3.39821156917216e-001
4.16986304336455e+003	-1.88937617314476e+001,3.42182839685150e-001
4.19886673449234e+003	-1.88936750147762e+001,3.44560908101208e-001
4.22807216224559e+003	-1.88935870890109e+001,3.46955475272982e-001
4.25748072981351e+003	-1.88934979373134e+001,3.49366655076990e-001
4.28709385014524e+003	-1.88934075426116e+001,3.51794562162943e-001
4.31691294601778e+003	-1.88933158875960e+001,3.54239311959334e-001
4.34693945010430e+003	-1.88932229547169e+001,3.56701020678413e-001
4.37717480504303e+003	-1.88931287261806e+001,3.59179805320889e-001
4.40762046350651e+003	-1.88930331839465e+001,3.61675783681220e-001
4.43827788827145e+003	-1.88929363097233e+001,3.64189074352769e-001
4.46914855228895e+003	-1.88928380849658e+001,3.66719796732845e-001
4.50023393875531e+003	-1.88927384908710e+001,3.69268071027873e-001
4.53153554118327e+003	-1.88926375083753e+001,3.71834018258511e-001
4.56305486347377e+003	-1.88925351181500e+001,3.74417760265078e-001
4.59479341998822e+003	-1.88924313005983e+001,3.77019419712227e-001
4.62675273562123e+003	-1.88923260358511e+001,3.79639120095193e-001
4.65893434587390e+003	-1.88922193037640e+001,3.82276985743941e-001
4.69133979692759e+003	-1.88921110839125e+001,3.84933141829446e-001
4.72397064571820e+003	-1.88920013555888e+001,3.87607714368321e-001
4.75682846001096e+003	-1.88918900977979e+001,3.90300830228893e-001
4.78991481847580e+003	-1.88917772892533e+001,3.93012617135735e-001
4.82323131076312e+003	-1.88916629083731e+001,3.95743203675805e-001
4.85677953758027e+003	-1.88915469332762e+001,3.98492719303444e-001
4.89056111076836e+003	-1.88914293417777e+001,4.01261294346290e-001
4.92457765337975e+003	-1.88913101113852e+001,4.04049060010363e-001
4.95883079975603e+003	-1.88911892192941e+001,4.06856148385640e-001
4.99332219560653e+003	-1.88910666423836e+001,4.09682692452298e-001
5.02805349808740e+003	-1.88909423572125e+001,4.12528826084804e-001
5.06302637588121e+003	-1.88908163400142e+001,4.15394684059187e-001
5.09824250927713e+003	-1.88906885666927e+001,4.18280402057634e-001
5.13370359025170e+003	-1.88905590128182e+001,4.21186116674330e-001
5.16941132255006e+003	-1.88904276536217e+001,4.24111965421570e-001
